,syn_scores
0,68.25542449951172
1,82.5897445678711
2,75.98164367675781
3,66.78397369384766
4,57.33333969116211
5,56.70313262939453
6,69.58145141601562
7,76.95037841796875
8,67.19895935058594
9,55.908721923828125
10,64.33842468261719
11,71.624755859375
12,67.79676818847656
13,67.166259765625
14,68.74842834472656
15,80.01164245605469
16,56.817867279052734
17,58.310150146484375
18,64.53870391845703
19,64.16317749023438
20,53.15259552001953
21,75.11946868896484
22,59.42976379394531
23,51.39371109008789
24,76.80058288574219
25,66.99370574951172
26,59.6904296875
27,55.15092849731445
28,82.22789001464844
29,66.36809539794922
30,67.99636840820312
31,72.86001586914062
32,50.80876159667969
33,69.90501403808594
34,71.34089660644531
35,55.49107360839844
36,60.90446090698242
37,63.35704040527344
38,79.3929443359375
39,59.298858642578125
40,68.81694030761719
41,60.97918701171875
42,66.36519622802734
43,69.18316650390625
44,56.89417266845703
45,75.7159194946289
46,74.22258758544922
47,67.56105041503906
48,67.75202178955078
49,69.65633392333984
